brand,freezer_capacity,number_of_reviews,price,product_description,ratings,total_capacity
KitchenAid,,26,"$3,419.99 ",KitchenAid - 25.8 Cu. Ft. 5-Door French Door Refrigerator - Stainless steel,4,
KitchenAid,,14,,KitchenAid - 30 Cu. Ft. Side-by-Side Built-In Refrigerator - Black,4.5,
Whirlpool,,"1,276",$749.99 ,Whirlpool - 19.2 Cu. Ft. Top-Freezer Refrigerator - Biscuit,4.5,
Maytag,,33,$679.99 ,Maytag - 18.1 Cu. Ft. Top-Freezer Refrigerator - Monochromatic stainless steel,4.3,
Maytag,,400,"$1,979.99 ",Maytag - 24.7 Cu. Ft. French Door Refrigerator - Black on Black,4.5,
GE,,NA,$710.99 ,GE - 16.6 Cu. Ft. Top-Freezer Refrigerator - Stainless steel,,
GE,,63,"$1,999.99 ",GE - 23.8 Cu. Ft. French Door Refrigerator - Stainless steel,4.3,
Whirlpool,,15,"$1,079.99 ",Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Stainless steel,3.9,
Whirlpool,,2,"$1,259.99 ",Whirlpool - 25.1 Cu. Ft. Side-by-Side Refrigerator - Sunset Bronze,4.5,
GE,,71,"$3,264.99 ",GE - Profile Series 22.2 Cu. Ft. French Door Counter-Depth Refrigerator with Keurig Brewing System - Black Slate,4.2,
Whirlpool,,46,"$1,599.99 ",Whirlpool - 20.6 Cu. Ft. Side-by-Side Counter-Depth Refrigerator - Stainless steel,4.4,
Fisher,,2,"$2,649.00 ",Fisher & Paykel - 20.1 Cu. Ft. French Door Refrigerator - Ezkleen Stainless Steel,5,
GE,,1,"$2,814.99 ",GE - 27.8 Cu. Ft. French Door Refrigerator - Stainless steel,5,
Whirlpool,,22,"$1,999.99 ",Whirlpool - 22.1 Cu. Ft. French Door Refrigerator - Fingerprint Resistant Stainless Steel,4.6,
Bosch,,NA,"$3,499.00 ",Bosch - 800 Series 20.8 Cu. Ft. French Door Counter-Depth Refrigerator - Stainless steel,,
Whirlpool,,785,"$2,159.99 ",Whirlpool - 24.5 Cu. Ft. 4-Door French Door Refrigerator - White,4.6,
Whirlpool,,785,"$2,159.99 ",Whirlpool - 24.5 Cu. Ft. 4-Door French Door Refrigerator - Black,4.6,
